Rapport jour piscine notifications (Log started: 2021-03-26T13:55:12.790249+00:00)
Heure, energie consommée, temps de fonctionnement pompe (depuis 25/08/2022)
--------------------------------------------------------------------------------
2021-12-13T22:59:00.352303+00:00 1h 34m,2.0
2021-12-14T22:59:00.688217+00:00 1h 35m,1.0
2021-12-15T22:59:00.464160+00:00 1h 35m,1.0
2021-12-16T22:59:00.434949+00:00 1h 34m,2.0
2021-12-17T22:59:00.200526+00:00 1h 35m,1.0
2021-12-18T22:59:00.244070+00:00 1h 32m,2.0
2021-12-19T22:59:00.225627+00:00 1h 30m,2.0
2021-12-20T22:59:00.216284+00:00 1h 34m,1.0
2021-12-21T22:59:00.188112+00:00 1h 24m,2.0
2021-12-22T22:59:00.408814+00:00 0m,0.0
2021-12-23T22:59:00.297203+00:00 1h 35m,2.0
2021-12-24T22:59:00.715507+00:00 1h 35m,2.0
2021-12-25T22:59:02.452431+00:00 1h 34m,1.0
2021-12-26T22:59:00.204778+00:00 1h 35m,2.0
2021-12-27T22:59:00.194852+00:00 1h 32m,2.0
2021-12-28T22:59:00.140562+00:00 1h 35m,1.0
2021-12-29T22:59:00.638359+00:00 1h 35m,2.0
2021-12-30T22:59:00.349952+00:00 1h 30m,2.0
2021-12-31T22:59:01.627269+00:00 1h 32m,1.0
2022-01-01T22:59:00.260352+00:00 1h 35m,2.0
2022-01-02T22:59:00.161156+00:00 1h 35m,2.0
2022-01-03T22:59:00.253257+00:00 1h 35m,1.0
2022-01-04T22:59:00.770295+00:00 1h 32m,2.0
2022-01-05T22:59:00.224645+00:00 1h 35m,2.0
2022-01-06T22:59:00.143755+00:00 1h 31m,1.0
2022-01-07T22:59:00.298955+00:00 1h 32m,2.0
2022-01-08T22:59:00.123394+00:00 1h 35m,2.0
2022-01-09T22:59:00.228758+00:00 1h 34m,1.0
2022-01-10T22:59:00.301333+00:00 1h 34m,2.0
2022-01-11T22:59:00.236585+00:00 1h 35m,2.0
2022-01-12T22:59:02.172398+00:00 1h 32m,1.0
2022-01-13T22:59:00.227658+00:00 1h 34m,2.0
2022-01-14T22:59:00.332781+00:00 2h 4m,2.0
2022-01-15T22:59:00.335278+00:00 2h 28m,2.0
2022-01-16T22:59:00.157873+00:00 3h 31m,4.0
2022-01-17T22:59:00.254742+00:00 2h 1m,2.0
2022-01-18T22:59:00.301115+00:00 2h 4m,2.0
2022-01-19T22:59:00.271101+00:00 1h 34m,1.0
2022-01-20T22:59:00.988929+00:00 1h 30m,2.0
