Conso Electrique du jour en kWh notifications (Log started: 2021-03-26T13:38:53.999130+00:00)
--------------------------------------------------------------------------------

2021-05-16T21:59:00.872103+00:00 26.0,13,13,4.0,1,3,0.0,0,0,3.225,2.4013,0.8242,6.69,0,6.6861
2021-05-17T21:59:00.693243+00:00 23.0,10,13,3.0,1,2,0.0,0,0,7.581,2.6635,4.9181,4.95,0,4.9512
2021-05-18T21:59:00.532489+00:00 24.0,11,13,4.0,1,3,0.0,0,0,7.003,2.4637,4.5387,4.78,0,4.7801
2021-05-19T21:59:00.117223+00:00 23.0,10,13,4.0,2,2,0.0,0,0,6.754,2.3708,4.3827,5.6,0,5.5988
2021-05-20T21:59:00.036661+00:00 23.0,11,12,4.0,2,2,0.0,0,0,6.57,3.0860,3.4838,7.25,2.3273,4.9167
2021-05-21T21:59:00.044279+00:00 17.0,10,7,4.0,2,2,0.0,0,0,4.568,2.6726,1.8951,2.72,0.0553,2.6647
2021-05-22T21:59:00.566017+00:00 20.0,12,8,4.0,2,2,0.0,0,0,4.133,3.8949,0.2385,5.98,0,5.9792
2021-05-23T21:59:00.028520+00:00 21.0,15,6,4.0,1,3,0.0,0,0,5.778,5.6169,0.1609,6.28,0,6.2767
2021-05-24T21:59:00.032308+00:00 22.0,13,9,4.0,1,3,0.0,0,0,4.931,3.5684,1.3625,5.46,0,5.4623
2021-05-25T21:59:00.058540+00:00 22.0,17,5,4.0,2,2,0.0,0,0,5.448,5.2725,0.1757,4.07,0,4.0732
2021-05-26T21:59:00.041208+00:00 22.0,17,5,4.0,2,2,1.0,1,0,6.097,5.9245,0.1725,4.95,0,4.9523
2021-05-27T21:59:00.048650+00:00 21.0,16,5,5.0,2,3,0.0,0,0,3.754,3.5621,0.1921,5.04,0,5.0367
2021-05-28T21:59:00.461108+00:00 16.0,11,5,5.0,3,2,0.0,0,0,1.167,0.9785,0.1880,5.19,0,5.1876
2021-05-29T21:59:00.037702+00:00 25.0,14,11,7.0,5,2,0.0,0,0,1.143,0.9891,0.1542,8.62,0.0016,8.6207
2021-05-30T21:59:00.997439+00:00 19.0,13,6,7.0,4,3,0.0,0,0,1.138,0.9530,0.1855,6.18,0,6.1772
2021-05-31T21:59:00.041493+00:00 24.0,19,5,7.0,4,3,0.0,0,0,1.138,0.9709,0.1674,21.84,17.2965,4.5369
2021-06-01T21:59:00.026251+00:00 21.0,20,1,8.0,6,2,0.0,0,0,1.114,0.9288,0.1854,3.03,2.3263,0.7014
2021-06-02T21:59:00.034875+00:00 22.0,15,7,7.0,4,3,0.0,0,0,1.165,1.0169,0.1477,4.82,0.0052,4.8115
2021-06-03T21:59:00.047673+00:00 20.0,13,7,5.0,3,2,0.0,0,0,1.331,1.1577,0.1728,5.12,0.0001,5.1191
2021-06-04T21:59:00.185248+00:00 22.0,16,6,6.0,3,3,0.0,0,0,0.964,0.8458,0.1185,0.05,0.0542,0
2021-06-05T21:59:01.341242+00:00 10.0,7,3,6.0,3,3,0.0,0,0,1.043,0.6520,0.3914,2.37,1.2516,1.1226
2021-06-06T21:59:00.029119+00:00 8.0,5,3,7.0,5,2,0.0,0,0,0.87,0.6098,0.2595,2.52,2.2354,0.2840
2021-06-07T21:59:00.032286+00:00 9.0,6,3,6.0,3,3,0.0,0,0,0.881,0.6132,0.2683,2.69,2.1280,0.5567
2021-06-08T21:59:00.031456+00:00 8.0,5,3,7.0,4,3,0.0,0,0,2.315,1.9637,0.3514,3.77,2.5273,1.2421
2021-06-09T21:59:00.039392+00:00 8.0,6,2,8.0,5,3,0.0,0,0,1.063,0.6835,0.3796,4.9,3.3823,1.5166
2021-06-10T21:59:00.042226+00:00 10.0,7,3,9.0,7,2,0.0,0,0,1.017,0.6885,0.3277,4.08,2.5924,1.4898
2021-06-12T21:59:00.040875+00:00 16.0,12,4,13.0,11,2,0.0,0,0,1.238,0.8885,0.3502,0.96,0.9620,0.0007
2021-06-13T21:59:00.054098+00:00 14.0,12,2,11.0,8,3,1.0,1,0,0.988,0.6627,0.3250,3.1,2.3003,0.8014
2021-06-14T21:59:00.103289+00:00 13.0,10,3,10.0,8,2,0.0,0,0,1.071,0.7171,0.3538,2.79,1.6814,1.1078
2021-06-15T21:59:00.072384+00:00 14.0,11,3,5.0,4,1,0.0,0,0,0.61,0.4337,0.1763,0.0,0,0
2021-06-16T21:59:00.035015+00:00 15.0,13,2,11.0,8,3,0.0,0,0,1.059,0.6810,0.3780,0.24,0.2413,0
2021-06-17T21:59:00.070398+00:00 24.0,15,9,11.0,9,2,0.0,0,0,1.107,0.7444,0.3634,3.28,0.0483,3.2272
2021-06-18T21:59:00.027229+00:00 21.0,14,7,12.0,9,3,0.0,0,0,1.189,0.7271,0.4624,4.07,0.1842,3.8939
2021-06-19T21:59:00.092457+00:00 25.0,16,9,13.0,9,4,0.0,0,0,1.087,0.7127,0.3742,6.29,0.6685,5.6188
2021-06-20T21:59:00.596184+00:00 22.0,12,10,10.0,7,3,0.0,0,0,1.008,0.6340,0.3737,7.04,0.5785,6.4646
2021-06-21T21:59:00.050092+00:00 20.0,14,6,11.0,9,2,0.0,0,0,0.983,0.6501,0.3331,3.74,0.5668,3.1723
2021-06-22T21:59:00.056792+00:00 18.0,12,6,10.0,8,2,0.0,0,0,1.193,0.7883,0.4048,3.78,0.5126,3.2735
2021-06-23T21:59:00.052525+00:00 24.0,16,8,9.0,6,3,0.0,0,0,0.58,0.3303,0.2499,4.18,0.2301,3.9498
2021-06-24T21:59:00.052340+00:00 21.0,12,9,8.0,5,3,0.0,0,0,5.891,0.0165,5.8742,9.15,0.3590,8.7946
2021-06-25T21:59:00.569538+00:00 15.0,8,7,9.0,6,3,0.0,0,0,0.01,0,0.0097,5.72,0.8295,4.8911
2021-06-26T21:59:00.188322+00:00 16.0,11,5,10.0,8,2,0.0,0,0,0.004,0,0.0036,3.34,0.3836,2.9554
2021-06-27T21:59:00.054481+00:00 16.0,3,13,8.0,3,5,0.0,0,0,0.004,0,0.0041,1.78,0.0010,1.7775
2021-06-28T21:59:00.079690+00:00 20.0,11,9,10.0,7,3,0.0,0,0,0.008,0,0.0076,3.08,0.0860,2.9946
2021-06-29T21:59:00.112174+00:00 21.0,11,10,8.0,5,3,0.0,0,0,0.011,0,0.0111,5.44,0.4074,5.0262
2021-06-30T21:59:00.042386+00:00 17.0,10,7,8.0,6,2,0.0,0,0,0.01,0.0004,0.0097,5.62,1.4865,4.1330
2021-07-01T21:59:00.078324+00:00 15.0,8,7,10.0,8,2,1.0,0,1,0.007,0,0.0071,4.33,0.9741,3.3553
2021-07-02T21:59:00.445498+00:00 16.0,11,5,11.0,9,2,0.0,0,0,0.006,0,0.0058,4.06,0.8784,3.1804
2021-07-03T21:59:00.055119+00:00 26.0,12,14,11.0,9,2,0.0,0,0,0.013,0,0.0134,5.95,0.3190,5.6263
2021-07-04T21:59:00.079444+00:00 18.0,11,7,11.0,9,2,0.0,0,0,0.009,0,0.0090,4.55,0.3628,4.1939
2021-07-05T21:59:00.067462+00:00 16.0,11,5,12.0,9,3,0.0,0,0,0.004,0,0.0042,1.9,0.0007,1.9033
2021-07-06T21:59:00.035218+00:00 28.0,21,7,11.0,8,3,0.0,0,0,0.006,0,0.0065,2.73,0.0002,2.7282
2021-07-07T21:59:00.031490+00:00 20.0,11,9,10.0,8,2,0.0,0,0,0.012,0.0002,0.0121,6.75,1.1867,5.5569
2021-07-09T21:59:00.049485+00:00 28.0,18,10,16.0,10,6,0.0,0,0,0.011,0.0003,0.0109,7.88,1.8997,5.9774
2021-07-10T21:59:00.498144+00:00 21.0,11,10,10.0,7,3,0.0,0,0,0.011,0,0.0113,6.54,0.5419,5.9965
2021-07-11T21:59:00.548611+00:00 20.0,10,10,12.0,10,2,0.0,0,0,0.015,0.0001,0.0150,8.25,0.7761,7.4738
2021-07-12T13:55:55.547345+00:00 21.0,9,12,5.0,3,2,0.0,0,0,0.012,0,0.0118,5.5,0.0003,5.5026
2021-07-12T13:56:25.437752+00:00 21.0,9,12,5.0,3,2,0.0,0,0,0.012,0,0.0118,5.5,0.0003,5.5026
2021-07-12T21:59:00.030141+00:00 30.0,18,12,10.0,8,2,0.0,0,0,0.012,0,0.0118,5.5,0.0004,5.5026
2021-07-13T21:59:00.031027+00:00 20.0,11,9,8.0,5,3,0.0,0,0,0.012,0,0.0116,5.25,0.1308,5.1230
2021-07-14T21:59:00.909762+00:00 23.0,15,8,7.0,4,3,0.0,0,0,0.009,0,0.0093,4.05,0.0747,3.9806
2021-07-15T21:59:00.058558+00:00 20.0,9,11,7.0,4,3,0.0,0,0,0.011,0,0.0113,5.86,0.5241,5.3368
